,name,key,path
0,Checkpoint,checkpoint,checkpoint
1,Piscine Rust,piscine-rust,piscine-rust
2,guess-it-2,guess-it-2,guess-it-2
3,linear-stats,linear-stats,linear-stats
4,guess-it-1,guess-it-1,guess-it-1
5,math-skills,math-skills,math-skills
6,add-vm,add-vm,add-vm
7,login,login,login
8,linux,linux,linux
9,scan,scan,scan
10,remote,remote,remote
11,connect,connect,connect
12,system-monitor,system-monitor,system-monitor
13,shop,shop,shop
14,mister-quiz,mister-quiz,mister-quiz
15,netfix,netfix,netfix
16,smart-road,smart-road,smart-road
17,atm-management-system,atm-management-system,atm-management-system
18,forum-advanced-features,advanced-features,advanced-features
19,job-control,job-control,job-control
20,social-network-cross-platform-appimage,cross-platform-appimage,cross-platform-appimage
21,Piscine JS,piscine-js,piscine-js
22,make-your-game-different-maps,different-maps,different-maps
23,make-your-game-history,history,history
24,groupie-tracker-search-bar,search-bar,search-bar
25,groupie-tracker-visualizations,visualizations,visualizations
26,groupie-tracker-geolocalization,geolocalization,geolocalization
27,groupie-tracker-filters,filters,filters
28,ascii-art-web-export-file,exportfile,exportfile
29,ascii-art-web-dockerize,dockerize,dockerize
30,ascii-art-web-stylize,stylize,stylize
31,ascii-art-reverse,reverse,reverse
32,ascii-art-justify,justify,justify
33,ascii-art-fs,fs,fs
34,ascii-art-output,output,output
35,forum-image-upload,image-upload,image-upload
36,forum-authentication,authentication,authentication
37,mini-framework,mini-framework,mini-framework
38,social-network,social-network,social-network
39,scripting,scripting,scripting
40,0-shell,0-shell,0-shell
41,graphql,graphql,graphql
42,multiplayer-fps,multiplayer-fps,multiplayer-fps
43,rt,rt,rt
44,bomberman-dom,bomberman-dom,bomberman-dom
45,wget,wget,wget
46,make-your-own,make-your-own,make-your-own
47,corewar,corewar,corewar
48,zappy,zappy,zappy
49,stock-exchange-sim,stock-exchange-sim,stock-exchange-sim
50,real-time-forum,real-time-forum,real-time-forum
51,make-your-game,make-your-game,make-your-game
52,lem-in,lem-in,lem-in
53,groupie-tracker,groupie-tracker,groupie-tracker
54,net-cat,net-cat,net-cat
55,my-ls-1,my-ls-1,my-ls-1
56,ascii-art-web,ascii-art-web,ascii-art-web
57,push-swap,push-swap,push-swap
58,forum,forum,forum
59,filler,filler,filler
60,forum-moderation,moderation,moderation
61,go-reloaded,go-reloaded,go-reloaded
62,ascii-art,ascii-art,ascii-art
63,tetris-optimizer,tetris-optimizer,tetris-optimizer
64,forum-security,security,security
65,make-your-game-score-handling,score-handling,score-handling
66,ascii-art-color,color,color
67,real-time-forum-typing-in-progress,typing-in-progress,typing-in-progress
68,localhost,localhost,localhost
69,kaggle-titanic,kaggle-titanic,kaggle-titanic
70,nlp-scraper,nlp-scraper,nlp-scraper
71,emotions-detector,emotions-detector,emotions-detector
72,sp500-strategies,sp500-strategies,sp500-strategies
73,credit-scoring,credit-scoring,credit-scoring
74,nft-marketplace,nft-marketplace,nft-marketplace
75,payment-channel,payment-channel,payment-channel
76,node-dashboard,node-dashboard,node-dashboard
77,financial-instruments,financial-instruments,financial-instruments
78,sky-map,sky-map,sky-map
79,stock-market,stock-market,stock-market
80,secure-messenger,secure-messenger,secure-messenger
81,passive,passive,passive
82,inspector-image,inspector-image,inspector-image
83,active,active,active
84,local,local,local
85,web-hack,web-hack,web-hack
86,injector,injector,injector
87,hole-in-bin,hole-in-bin,hole-in-bin
88,mal-track,mal-track,mal-track
89,evasion,evasion,evasion
90,obfuscator,obfuscator,obfuscator
91,malware,malware,malware
92,twenty-forty-eight,twenty-forty-eight,twenty-forty-eight
93,chess,chess,chess
94,Piscine AI,piscine-ai,piscine-ai
95,Piscine Blockchain,piscine-blockchain,piscine-blockchain
96,Piscine Flutter,piscine-flutter,piscine-flutter
97,army-of-one,army-of-one,army-of-one
98,vehicle-physics,vehicle-physics,vehicle-physics
99,zombie-ai,zombie-ai,zombie-ai
100,nascar-online-alpha,nascar-online-alpha,nascar-online-alpha
101,mouse-vr,mouse-vr,mouse-vr
102,the-pages,the-pages,the-pages
103,stealth-boom,stealth-boom,stealth-boom
104,jumpo,jumpo,jumpo
105,firing-range,firing-range,firing-range
106,widget-factory,widget-factory,widget-factory
107,Piscine JS - 2,piscine-js-2,piscine-js-2
108,Checkpoint-v2,checkpoint01,checkpoint01
109,piscine-ux,piscine-ux,piscine-ux
110,piscine-ui,piscine-ui,piscine-ui
111,a-table,a-table,a-table
112,get-a-room,get-a-room,get-a-room
113,lets-do-some-sports,lets-do-some-sports,lets-do-some-sports
114,lets-fair-trade,lets-fair-trade,lets-fair-trade
115,deep-in-net,deep-in-net,deep-in-net
116,deep-in-system,deep-in-system,deep-in-system
117,crud-master,crud-master,crud-master
118,play-with-containers,play-with-containers,play-with-containers
119,orchestrator,orchestrator,orchestrator
120,cloud-design,cloud-design,cloud-design
121,code-keeper,code-keeper,code-keeper
122,git,git,git
123,Piscine Java,piscine-java,piscine-java
124,lets-play,lets-play,lets-play
125,angul-it,angul-it,angul-it
126,buy-01,buy-01,buy-01
127,mr-jenk,mr-jenk,mr-jenk
128,safe-zone,safe-zone,safe-zone
129,buy-02,buy-02,buy-02
130,nexus,nexus,nexus
131,neo4flix,neo-4-flix,neo-4-flix
132,travel-plan,travel-plan,travel-plan
133,lets-travel,lets-travel,lets-travel
134,kaquiz,kaquiz,kaquiz
135,Piscine Java Rattrapage ,piscine-java-rattrapage,piscine-java-rattrapage
136,Rattrapage Rust,rattrapage-rust,rattrapage-rust
137,Rattrapage Piscine Java-1-2,rattrapage-piscine-java-1-2,rattrapage-piscine-java-1-2
